CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn,ChurnFlag,TenureGroup,ChargeCategory,AnnualCharges
1,49,Male,4,88.35,Month-to-Month,Fiber Optic,353.4,Yes,Yes,1,New,High,1060.1999999999998
2,43,Male,0,36.67,Month-to-Month,Fiber Optic,0.0,Yes,Yes,1,,Medium,440.04
3,51,Female,2,63.79,Month-to-Month,Fiber Optic,127.58,No,Yes,1,New,Medium,765.48
4,60,Female,8,102.34,One-Year,DSL,818.72,Yes,Yes,1,New,High,1228.08
5,42,Male,32,69.01,Month-to-Month,,2208.32,No,Yes,1,2-4 Years,Medium,828.1200000000001
6,42,Female,16,119.75,Two-Year,DSL,1916.0,Yes,Yes,1,1-2 Years,High,1437.0
7,60,Male,14,80.32,One-Year,,1124.48,No,Yes,1,1-2 Years,High,963.8399999999999
8,52,Female,6,58.9,One-Year,,353.4,No,Yes,1,New,Medium,706.8
9,40,Female,53,49.81,Two-Year,Fiber Optic,2639.93,Yes,No,0,4+ Years,Medium,597.72
10,50,Female,10,61.55,Month-to-Month,Fiber Optic,615.5,Yes,Yes,1,New,Medium,738.5999999999999
11,40,Female,1,63.53,Month-to-Month,Fiber Optic,63.53,Yes,Yes,1,New,Medium,762.36
12,40,Female,19,36.18,One-Year,Fiber Optic,687.42,Yes,No,0,1-2 Years,Medium,434.15999999999997
13,47,Male,2,63.26,Two-Year,,126.52,No,Yes,1,New,Medium,759.12
14,25,Female,8,71.78,One-Year,,574.24,No,Yes,1,New,High,861.36
15,27,Male,14,95.05,Month-to-Month,Fiber Optic,1330.7,Yes,Yes,1,1-2 Years,High,1140.6
16,39,Female,41,89.11,Two-Year,Fiber Optic,3653.51,Yes,No,0,2-4 Years,High,1069.32
17,34,Female,13,93.79,Month-to-Month,,1219.27,No,Yes,1,1-2 Years,High,1125.48
18,48,Female,24,30.75,Two-Year,,738.0,No,Yes,1,1-2 Years,Low,369.0
19,35,Male,98,49.59,Two-Year,Fiber Optic,4859.82,Yes,No,0,,Medium,595.08
20,30,Female,2,89.55,Month-to-Month,Fiber Optic,179.1,No,Yes,1,New,High,1074.6
21,59,Female,6,73.56,One-Year,DSL,441.36,No,Yes,1,New,High,882.72
22,42,Female,10,30.48,Month-to-Month,,304.8,No,Yes,1,New,Low,365.76
23,45,Male,10,102.4,Month-to-Month,DSL,1024.0,Yes,Yes,1,New,High,1228.8000000000002
24,30,Male,10,99.55,One-Year,Fiber Optic,995.5,Yes,Yes,1,New,High,1194.6
25,39,Male,47,79.36,One-Year,DSL,3729.92,Yes,No,0,2-4 Years,High,952.3199999999999
26,46,Male,25,35.98,Two-Year,DSL,899.5,Yes,No,0,2-4 Years,Medium,431.76
27,33,Female,18,98.99,One-Year,Fiber Optic,1781.82,Yes,No,0,1-2 Years,High,1187.8799999999999
28,48,Male,7,82.53,Month-to-Month,,577.71,No,Yes,1,New,High,990.36
29,38,Female,34,100.38,Two-Year,DSL,3412.92,Yes,Yes,1,2-4 Years,High,1204.56
30,42,Male,62,97.66,Two-Year,Fiber Optic,6054.92,Yes,No,0,4+ Years,High,1171.92
31,38,Male,34,102.27,Month-to-Month,DSL,3477.18,No,Yes,1,2-4 Years,High,1227.24
32,63,Female,0,76.62,Two-Year,DSL,0.0,Yes,Yes,1,,High,919.44
33,44,Female,20,42.63,Month-to-Month,Fiber Optic,852.6,Yes,Yes,1,1-2 Years,Medium,511.56000000000006
34,34,Female,1,90.4,Two-Year,Fiber Optic,90.4,Yes,Yes,1,New,High,1084.8000000000002
35,53,Female,5,85.84,Month-to-Month,DSL,429.2,Yes,Yes,1,New,High,1030.08
36,32,Female,1,96.8,Month-to-Month,Fiber Optic,96.8,No,Yes,1,New,High,1161.6
37,47,Male,18,45.29,Month-to-Month,DSL,815.22,Yes,Yes,1,1-2 Years,Medium,543.48
38,25,Female,23,47.55,One-Year,Fiber Optic,1093.65,Yes,No,0,1-2 Years,Medium,570.5999999999999
39,31,Female,2,110.14,Month-to-Month,,220.28,No,Yes,1,New,High,1321.68
40,46,Female,9,97.5,Month-to-Month,,877.5,No,Yes,1,New,High,1170.0
41,52,Male,12,111.74,One-Year,Fiber Optic,1340.88,Yes,Yes,1,New,High,1340.8799999999999
42,46,Female,9,98.28,Two-Year,Fiber Optic,884.52,Yes,Yes,1,New,High,1179.3600000000001
43,43,Male,2,83.74,Month-to-Month,,167.48,No,Yes,1,New,High,1004.8799999999999
44,41,Male,10,88.87,Month-to-Month,DSL,888.7,Yes,Yes,1,New,High,1066.44
45,30,Male,27,110.02,Month-to-Month,,2970.54,No,Yes,1,2-4 Years,High,1320.24
46,37,Male,1,82.09,Month-to-Month,,82.09,No,Yes,1,New,High,985.08
47,40,Female,1,86.92,Two-Year,DSL,86.92,Yes,Yes,1,New,High,1043.04
48,55,Female,8,44.08,Two-Year,DSL,352.64,No,Yes,1,New,Medium,528.96
49,48,Female,56,72.65,One-Year,,4068.4,No,Yes,1,4+ Years,High,871.8000000000001
50,27,Male,22,94.48,Month-to-Month,Fiber Optic,2078.56,Yes,Yes,1,1-2 Years,High,1133.76
51,48,Male,22,54.38,One-Year,DSL,1196.36,Yes,No,0,1-2 Years,Medium,652.5600000000001
52,41,Male,8,48.2,One-Year,DSL,385.6,No,Yes,1,New,Medium,578.4000000000001
53,38,Female,18,58.24,Two-Year,Fiber Optic,1048.32,Yes,No,0,1-2 Years,Medium,698.88
54,51,Male,0,51.74,One-Year,Fiber Optic,0.0,No,Yes,1,,Medium,620.88
55,55,Female,20,49.34,One-Year,,986.8,No,Yes,1,1-2 Years,Medium,592.08
56,54,Female,48,68.24,One-Year,,3275.52,No,Yes,1,2-4 Years,Medium,818.8799999999999
57,36,Male,18,111.71,Month-to-Month,DSL,2010.78,Yes,Yes,1,1-2 Years,High,1340.52
58,41,Female,41,75.64,Two-Year,Fiber Optic,3101.24,Yes,No,0,2-4 Years,High,907.6800000000001
59,48,Female,25,46.91,One-Year,Fiber Optic,1172.75,No,Yes,1,2-4 Years,Medium,562.92
60,54,Female,2,36.93,One-Year,Fiber Optic,73.86,No,Yes,1,New,Medium,443.15999999999997
61,40,Female,46,92.65,Month-to-Month,DSL,4261.9,Yes,Yes,1,2-4 Years,High,1111.8000000000002
62,43,Male,1,64.45,One-Year,,64.45,No,Yes,1,New,Medium,773.4000000000001
63,33,Male,15,103.96,One-Year,,1559.4,No,Yes,1,1-2 Years,High,1247.52
64,33,Female,3,89.36,Month-to-Month,Fiber Optic,268.08,Yes,Yes,1,New,High,1072.32
65,53,Female,0,101.66,Month-to-Month,Fiber Optic,0.0,Yes,Yes,1,,High,1219.92
66,58,Male,10,54.48,One-Year,DSL,544.8,Yes,Yes,1,New,Medium,653.76
67,44,Female,6,92.31,One-Year,Fiber Optic,553.86,Yes,Yes,1,New,High,1107.72
68,55,Female,13,53.77,One-Year,Fiber Optic,699.01,Yes,No,0,1-2 Years,Medium,645.24
69,48,Female,17,114.52,Month-to-Month,Fiber Optic,1946.84,Yes,Yes,1,1-2 Years,High,1374.24
70,38,Male,0,87.27,One-Year,,0.0,No,Yes,1,,High,1047.24
71,48,Female,2,59.21,Month-to-Month,Fiber Optic,118.42,Yes,Yes,1,New,Medium,710.52
72,60,Female,16,54.26,Month-to-Month,Fiber Optic,868.16,Yes,Yes,1,1-2 Years,Medium,651.12
73,44,Male,8,47.18,Month-to-Month,,377.44,No,Yes,1,New,Medium,566.16
74,60,Male,26,92.52,Month-to-Month,DSL,2405.52,No,Yes,1,2-4 Years,High,1110.24
75,18,Female,21,49.68,Month-to-Month,Fiber Optic,1043.28,Yes,Yes,1,1-2 Years,Medium,596.16
76,53,Male,37,83.58,Month-to-Month,Fiber Optic,3092.46,Yes,Yes,1,2-4 Years,High,1002.96
77,45,Female,23,53.82,Month-to-Month,Fiber Optic,1237.86,No,Yes,1,1-2 Years,Medium,645.84
